FEED_NAME,FEED_ADDRESS,FEED_CATEGORY,FEED_ADDED,CREATED_BLOCK_NUMBER
ALCX / USD,0xc355e4c0b3ff4ed0b49eaacd55fe29b311f42976,Cryptocurrency (USD pairs),-,14481582
BADGER / USD,0x66a47b7206130e6ff64854ef0e1edfa237e65339,Cryptocurrency (USD pairs),-,12459042
BNT / USD,0x1e6cf0d433de4fe882a437abc654f58e1e78548c,Cryptocurrency (USD pairs),22-Jan-20,10606429
REP / ETH,0xd4ce430c3b67b3e2f7026d86e7128588629e2455,Cryptocurrency (ETH pairs),23-Dec-19,10606502
ETC / USD,0xaea2808407b7319a31a383b6f8b60f04bca23ce2,Cryptocurrency (USD pairs),21-Aug-20,10705585
BETA / ETH,0x8eb7bae1ecd3dcf87159eb5bace78209722f795b,Cryptocurrency (ETH pairs),-,14032191
NEAR / USD,0xc12a6d1d827e23318266ef16ba6f397f2f91da9b,Cryptocurrency (USD pairs),15-Jun-21,12640062
USDK / USD,0xfac81ea9dd29d8e9b212acd6edbeb6de38cb43af,Stablecoins,30-Oct-20,11152606
AUDIO / USD,0xbf739e677edf6cf3408857404746cacfd7120eb2,Cryptocurrency (USD pairs),23-Sep-21,13265502
BUSD / USD,0x833d8eb16d306ed1fbb5d7a2e019e106b960965a,Stablecoins,29-Apr-21,12335735
CNY / USD,0xef8a4af35cd47424672e3c590abd37fbb7a7759a,Foreign Exchange,11-Feb-21,11831944
NMR / ETH,0x9cb2a01a7e64992d32a34db7ceea4c919c391f6a,Cryptocurrency (ETH pairs),8-Jul-20,10606431
BNT / ETH,0xcf61d1841b178fe82c8895fe60c2edda08314416,Cryptocurrency (ETH pairs),23-Jul-20,10606431
SGD / USD,0xe25277ff4bbf9081c75ab0eb13b4a13a721f3e13,Foreign Exchange,25-Feb-21,11910478
YGG / ETH,0xeb9de2f84f318e8c3081ccb485a6399a82344a00,Cryptocurrency (ETH pairs),1-Sep-21,13135667
RUNE / USD,0x48731cf7e84dc94c5f84577882c14be11a5b7456,Cryptocurrency (USD pairs),1-Apr-21,12143260
SUSHI / ETH,0xe572cef69f43c2e488b33924af04bdace19079cf,Cryptocurrency (ETH pairs),4-Jan-21,11590397
AUCTION / USD,0xa6bcac72431a4178f07d016e1d912f56e6d989ec,Cryptocurrency (USD pairs),2-Apr-21,12156316
NZD / USD,0x3977cfc9e4f29c184d4675f4eb8e0013236e5f3e,Foreign Exchange,5-May-21,12367603
XAG / USD,0x379589227b15f1a12195d3f2d90bbc9f31f95235,Commodities,11-Dec-19,10606498
DODO / USD,0x9613a51ad59ee375e6d8fa12eeef0281f1448739,Cryptocurrency (USD pairs),13-Oct-21,13405248
FLOW / USD,0xd9bdd9f5ffa7d89c846a5e3231a093ae4b3469d2,Cryptocurrency (USD pairs),4-Feb-22,14121455
SXP / USD,0xfb0cfd6c19e25db4a08d8a204a387cea48cc138f,Cryptocurrency (USD pairs),6-Aug-20,10634260
CSPR / USD,0x9e37a8ee3bfa8ed6783db031dc458d200b226074,Cryptocurrency (USD pairs),19-Oct-21,13443042
DAI / USD,0xaed0c38402a5d19df6e4c03f4e2dced6e29c1ee9,Stablecoins,9-Apr-20,10606501
SUSD / ETH,0x8e0b7e6062272b5ef4524250bfff8e5bd3497757,Stablecoins,23-Dec-19,10606431
OXT / USD,0xd75aaae4af0c398ca13e2667be57af2cca8b5de6,Cryptocurrency (USD pairs),29-May-20,10606426
STETH / USD,0xcfe54b5cd566ab89272946f602d76ea879cab4a8,Cryptocurrency (USD pairs),25-Aug-21,13089591
wBTC Reserves,0xa81fe04086865e63e12dd3776978e49deea2ea4e,Proof of Reserve,10-Sep-21,13199318
LINK / USD,0x2c1d072e956affc0d435cb7ac38ef18d24d9127c,Cryptocurrency (USD pairs),12-Dec-19,10606428
