FEED_NAME,FEED_ADDRESS,FEED_CATEGORY,FEED_ADDED,CREATED_BLOCK_NUMBER
LRC / ETH,0x160ac928a16c93ed4895c2de6f81ecce9a7eb7b4,Cryptocurrency (ETH pairs),18-Dec-19,10606432
SUSHI / USD,0xcc70f09a6cc17553b2e31954cd36e4a2d89501f7,Cryptocurrency (USD pairs),27-May-21,12505491
ANKR / USD,0x7eed379bf00005cfed29fed4009669de9bcc21ce,Cryptocurrency (USD pairs),2-Apr-21,12156137
BTC / ETH,0xdeb288f737066589598e9214e782fa5a8ed689e8,Cryptocurrency (ETH pairs),23-Dec-19,10606425
KNC / ETH,0x656c0544ef4c98a6a98491833a89204abb045d6b,Cryptocurrency (ETH pairs),23-Dec-19,10606502
AUTO / USD,0x21c44778293e43afc0f318ac051ef867c3bdb5ee,Cryptocurrency (USD pairs),24-Jun-21,12698260
LON / ETH,0x13a8f2cc27ccc2761ca1b21d2f3e762445f201ce,Cryptocurrency (ETH pairs),28-Apr-21,12323073
OGN / ETH,0x2c881b6f3f6b5ff6c975813f87a4dad0b241c15b,Cryptocurrency (ETH pairs),16-Dec-20,11459748
AVAX / USD,0xff3eeb22b5e3de6e705b44749c2559d704923fd7,Cryptocurrency (USD pairs),15-Jun-21,12639829
ORN / ETH,0xba9b2a360eb8abdb677d6d7f27e12de11aa052ef,Cryptocurrency (ETH pairs),7-Dec-20,11382306
XLM / USD,0x64168007bacbb5ff3f52639db22c6300827f5036,Cryptocurrency (USD pairs),23-Sep-21,13265153
BOND / ETH,0xdd22a54e05410d8d1007c38b5c7a3ed74b855281,Cryptocurrency (ETH pairs),18-May-21,12459604
USDC / USD,0x8fffffd4afb6115b954bd326cbe7b4ba576818f6,Stablecoins,16-Feb-21,11869355
FXS / USD,0x6ebc52c8c1089be9eb3945c4350b68b8e4c2233f,Cryptocurrency (USD pairs),24-Mar-21,12096474
KSM / USD,0x06e4164e24e72b879d93360d1b9fa05838a62eb5,Cryptocurrency (USD pairs),2-Jun-21,12555605
BTM / USD,0x9fccf42d21ab278e205e7bb310d8979f8f4b5751,Cryptocurrency (USD pairs),14-Apr-21,12239601
FTM / ETH,0x2de7e4a9488488e0058b95854cc2f7955b35dc9b,Cryptocurrency (ETH pairs),4-Jun-20,10606428
ILV / ETH,0xf600984cca37cd562e74e3ee514289e3613ce8e4,Cryptocurrency (ETH pairs),-,13941898
DNT / ETH,0x1f9eb026e549a5f47a6aa834689053117239334a,Cryptocurrency (ETH pairs),27-Apr-21,12317954
TRX / USD,0xacd0d1a29759cc01e8d925371b72cb2b5610ea25,Cryptocurrency (USD pairs),21-Aug-20,10705606
CACHE Gold Reserves,0x5586bf404c7a22a4a4077401272ce5945f80189c,Proof of Reserve,6-Apr-22,14304118
OHM / ETH,0x90c2098473852e2f07678fe1b6d595b1bd9b16ed,Cryptocurrency (ETH pairs),12-Aug-21,13005215
FEI / ETH,0x7f0d2c2838c6ac24443d13e23d99490017bde370,Stablecoins,27-May-21,12511772
YFI / ETH,0x7c5d4f8345e66f68099581db340cd65b078c41f4,Cryptocurrency (ETH pairs),5-Aug-20,10633309
IMX / USD,0xbaebefc1d023c0feccc047bff42e75f15ff213e6,Cryptocurrency (USD pairs),-,14393393
COMP / ETH,0x1b39ee86ec5979ba5c322b826b3ecb8c79991699,Cryptocurrency (ETH pairs),11-Aug-20,10640564
TRU / USD,0x26929b85fe284eeab939831002e1928183a10fb1,Cryptocurrency (USD pairs),16-Feb-21,11869174
EURt / USD,0x01d391a48f4f7339ac64ca2c83a07c22f95f587a,Cryptocurrency (USD pairs),14-Sep-21,13219366
FEI / USD,0x31e0a88fecb6ec0a411dbe0e9e76391498296ee9,Stablecoins,26-Jul-21,12903212
XTZ / USD,0x5239a625deb44bf3eeac2cd5366ba24b8e9db63f,Cryptocurrency (USD pairs),21-Aug-20,10705608
WTI / USD,0xf3584f4dd3b467e73c2339efd008665a70a4185c,Commodities,-,11317834
OHMv2/ETH,0x9a72298ae3886221820b1c878d12d872087d3a23,Cryptocurrency (ETH pairs),-,13942071
FOR / USD,0x456834f736094fb0aad40a9bbc9d4a0f37818a54,Cryptocurrency (USD pairs),-,14032110
FTT / USD,0x84e3946c6df27b453315a1b38e4decef23d9f16f,Cryptocurrency (USD pairs),-,14393364
PUNDIX / USD,0x552ddbef6f5a1316aec3e30db6afcd433548dbf3,Cryptocurrency (USD pairs),5-May-21,12367230
ALBT / USD,0x057e52fb830318e096cd96f369f0db4b196fbfa7,Cryptocurrency (USD pairs),-,13941749
RAI / ETH,0x4ad7b025127e89263242ab68f0f9c4e5c033b489,Cryptocurrency (ETH pairs),8-Apr-21,12194700
CTX / USD,0x441c93944f428b0404ff30bbb1dc2bab35a6f04f,Cryptocurrency (USD pairs),-,13501051
USDC / ETH,0x986b5e1e1755e3c2440e960477f25201b0a8bbd4,Stablecoins,23-Dec-19,10606503
JPY / USD,0xbce206cae7f0ec07b545edde332a47c2f75bbeb3,Foreign Exchange,11-Dec-19,10606503
SRM / ETH,0x050c048c9a0cd0e76f166e2539f87ef2accec58f,Cryptocurrency (ETH pairs),3-Feb-21,11780615
BAL / USD,0xdf2917806e30300537aeb49a7663062f4d1f2b5f,Cryptocurrency (USD pairs),-,13946823
ETH / USD,0x5f4ec3df9cbd43714fe2740f5e3616155c5b8419,Cryptocurrency (USD pairs),29-May-19,10606501
EGLD / USD,0xb469be46a734169a7fd51d573305c4b8603e77d2,Cryptocurrency (USD pairs),-,14481411
1INCH / ETH,0x72afaecf99c9d9c8215ff44c77b94b99c28741e8,Cryptocurrency (ETH pairs),3-Feb-21,11772383
