workflow_name,workflow_schedule
dbt_run_scheduled_non_realtime,"8,38 * * * *"
dbt_run_streamline_chainhead,"0,20,40 * * * *"
dbt_run_streamline_decoder,"14,44 * * * *"
dbt_run_scheduled_curated,"30 */4 * * *"
dbt_run_scheduled_beacon,"10 */2 * * *"
dbt_run_streamline_beacon,"55 */1 * * *"
dbt_test_intraday,"34 */4 * * *"
dbt_run_streamline_decoded_logs_history,"42 9 * * 6"
dbt_run_streamline_decoded_traces_history,"5 22 * * 6"
dbt_run_abi_refresh,"29 23 * * *"
