POOL_ADDRESS,TOKEN_ADDRESS,TOKEN_INDEX,TOKEN_SYMBOL,TOKEN_DECIMALS,TOKEN_NAME,POOL_NAME,POOL_ID,_INSERTED_TIMESTAMP
0x5b692073f141c31384fae55856cfb6cbffe91e60,0xfafdf0c4c1cb09d430bf88c75d88bb46dae09967,0,ibAUD,18,Iron Bank AUD,Curve.fi Pool: ibAUD-USDC ,0x5b692073f141c31384fae55856cfb6cbffe91e600xfafdf0c4c1cb09d430bf88c75d88bb46dae09967,2022-09-27T16:44:04Z
0x1daf17e6d1d9ed6aa9fe9910ae17be98c2c4e6ba,0xfa8490d1c7a270b5f339ea97d05cc7c657774772,0,RC_vETH2_850_DAI_2021_4_30,18,Ruler Protocol rToken,Curve.fi Pool: RC_vETH2_850_DAI_2021_4_30-3Crv ,0x1daf17e6d1d9ed6aa9fe9910ae17be98c2c4e6ba0xfa8490d1c7a270b5f339ea97d05cc7c657774772,2022-09-27T16:44:04Z
0x6df2b0855060439251fee7ed34952b87b68eeed9,0xf91c09a2f407753540718209e893e5c96ddb46cc,0,RC_WBTC_29000_DAI_2021_4_30,18,Ruler Protocol rToken,Curve.fi Pool: RC_WBTC_29000_DAI_2021_4_30-3Crv ,0x6df2b0855060439251fee7ed34952b87b68eeed90xf91c09a2f407753540718209e893e5c96ddb46cc,2022-09-27T16:44:04Z
0xda3b4449e055c76a740dc5796afc7be2a535a70f,0xf74af96eb48a3146e16b33c32837900a1be7fa40,0,RC_WBTC_32000_DAI_2021_5_31,18,Ruler Protocol rToken,Curve.fi Pool: RC_WBTC_32000_DAI_2021_5_31-3Crv ,0xda3b4449e055c76a740dc5796afc7be2a535a70f0xf74af96eb48a3146e16b33c32837900a1be7fa40,2022-09-27T16:44:04Z
0x8818a9bb44fbf33502be7c15c500d0c783b73067,0xf6b1c627e95bfc3c1b4c9b825a032ff0fbf3e07d,1,sJPY,18,Synth sJPY,Curve.fi Pool: ibJPY-sJPY ,0x8818a9bb44fbf33502be7c15c500d0c783b730670xf6b1c627e95bfc3c1b4c9b825a032ff0fbf3e07d,2022-09-27T16:44:04Z
0x0437ac6109e8a366a1f4816edf312a36952db856,0xf49764c9c5d644ece6ae2d18ffd9f1e902629777,0,,,,Curve.fi Pool: SUSHI ,0x0437ac6109e8a366a1f4816edf312a36952db8560xf49764c9c5d644ece6ae2d18ffd9f1e902629777,2022-09-27T16:44:04Z
0x3f1b0278a9ee595635b61817630cc19de792f506,0xf48e200eaf9906362bb1442fca31e0835773b8b4,1,sAUD,18,Synth sAUD,Curve.fi Pool: ibAUD-sAUD ,0x3f1b0278a9ee595635b61817630cc19de792f5060xf48e200eaf9906362bb1442fca31e0835773b8b4,2022-09-27T16:44:04Z
0x56680fdebdd3e31f79938fa1222bfea4706a0758,0xf3d948cea0fadd9bfc63745f8469922184910a5e,0,RC_WETH_2000_DAI_2021_6_30,18,Ruler Protocol rToken,Curve.fi Pool: RC_WETH_2000_DAI_2021_6_30-3Crv ,0x56680fdebdd3e31f79938fa1222bfea4706a07580xf3d948cea0fadd9bfc63745f8469922184910a5e,2022-09-27T16:44:04Z
0xafcc5dadcdcfc4d353ab2d36fbd57b80513a34e6,0xf3d907f9c7cb0b45de0fddfe9311b52f09a1c614,0,RC_xRULER_125_DAI_2021_4_30,18,Ruler Protocol rToken,Curve.fi Pool: RC_xRULER_125_DAI_2021_4_30-3Crv ,0xafcc5dadcdcfc4d353ab2d36fbd57b80513a34e60xf3d907f9c7cb0b45de0fddfe9311b52f09a1c614,2022-09-27T16:44:04Z
0xf5c511e559342087d30a793705228bfeb881c325,0xf35a04a8d018c49153f6163c03f8153da8b6e23d,0,RC_COMP_350_DAI_2021_5_31,18,Ruler Protocol rToken,Curve.fi Pool: RC_COMP_350_DAI_2021_5_31-3Crv ,0xf5c511e559342087d30a793705228bfeb881c3250xf35a04a8d018c49153f6163c03f8153da8b6e23d,2022-09-27T16:44:04Z
0x83f252f036761a1e3d10daca8e16d7b21e3744d7,0xf34842d05a1c888ca02769a633df37177415c2f8,2,,,,,0x83f252f036761a1e3d10daca8e16d7b21e3744d70xf34842d05a1c888ca02769a633df37177415c2f8,2022-08-28T17:55:48Z
0xbcb91e689114b9cc865ad7871845c95241df4105,0xf0a93d4994b3d98fb5e3a2f90dbc2d69073cb86b,0,PWRD,18,PWRD Stablecoin,Curve.fi Pool: PWRD-3Crv ,0xbcb91e689114b9cc865ad7871845c95241df41050xf0a93d4994b3d98fb5e3a2f90dbc2d69073cb86b,2022-09-27T16:44:04Z
0x2de8c952871317fb9f22c73bb66bf86a1eebe1a5,0xf0a93d4994b3d98fb5e3a2f90dbc2d69073cb86b,0,PWRD,18,PWRD Stablecoin,Curve.fi Pool: PWRD-3Crv ,0x2de8c952871317fb9f22c73bb66bf86a1eebe1a50xf0a93d4994b3d98fb5e3a2f90dbc2d69073cb86b,2022-09-27T16:44:04Z
0xf9078fb962a7d13f55d40d49c8aa6472abd1a5a6,0xf05e58fcea29ab4da01a495140b349f8410ba904,1,clevCVX,18,CLever CVX,Curve.fi Pool: CVX-clevCVX ,0xf9078fb962a7d13f55d40d49c8aa6472abd1a5a60xf05e58fcea29ab4da01a495140b349f8410ba904,2022-10-11T12:27:11Z
0xaa6a4f8ddcca7d3b9e7ad38c8338a2fcfdb1e713,0xf05e58fcea29ab4da01a495140b349f8410ba904,1,clevCVX,18,CLever CVX,Curve.fi Pool: CVX-clevCVX ,0xaa6a4f8ddcca7d3b9e7ad38c8338a2fcfdb1e7130xf05e58fcea29ab4da01a495140b349f8410ba904,2022-09-27T16:44:04Z
0x8c1de7a8f8852197b109daf75a6fbb685c013315,0xf05e58fcea29ab4da01a495140b349f8410ba904,1,clevCVX,18,CLever CVX,Curve.fi Pool: CVX-clevCVX ,0x8c1de7a8f8852197b109daf75a6fbb685c0133150xf05e58fcea29ab4da01a495140b349f8410ba904,2022-09-27T16:44:04Z
0x63a1ec86cd45425f1409fabe4c1cf8c5fd32a3b1,0xf05e58fcea29ab4da01a495140b349f8410ba904,1,clevCVX,18,CLever CVX,Curve.fi Pool: CVX-clevCVX ,0x63a1ec86cd45425f1409fabe4c1cf8c5fd32a3b10xf05e58fcea29ab4da01a495140b349f8410ba904,2022-10-09T04:25:09Z
0x0212133321479b183637e52942564162bcc37c1d,0xf006f6898a814d498927524e7a9745ec05fee18a,0,RC_WETH_1400_DAI_2021_7_31,18,Ruler Protocol rToken,Curve.fi Pool: RC_WETH_1400_DAI_2021_7_31-3Crv ,0x0212133321479b183637e52942564162bcc37c1d0xf006f6898a814d498927524e7a9745ec05fee18a,2040-01-01T00:00:00Z
