atoken_symbol,atoken_address,atoken_stable_debt_address,atoken_variable_debt_address,atoken_decimals,atoken_version,atoken_created_block
aMANA,0x6fce4a401b6b80ace52baaefe4421bd188e76f6f,,,18,v1,9241110
aMKR,0x7deb5e830be29f91e298ba5ff1356bb7f8146998,,,18,v1,9241106
aREN,0x69948cc03f478b95283f7dbf1ce764d0fc7ec54c,,,18,v1,10472062
aREP,0x71010a9d003445ac60c4e6a7017c1e89a477b438,,,18,v1,9241100
aSNX,0x328c4c80bc7aca0834db37e6600a6c49e12da4de,,,18,v1,9241118
aUNI,0xb124541127a0a657f056d9dd06188c4f1b0e5aab,,,18,v1,11132284
aWBTC,0xfc4b8ed459e00e5400be803a9bb3954234fd50e3,,,8,v1,9241225
aYFI,0x12e51e77daaa58aa0e9247db7510ea4b46f9bead,,,18,v1,10748286
aZRX,0x6fb0855c404e09c47c3fbca25f08d4e41f9f062f,,,18,v1,9241114
aLEND,0x7d2d3688df45ce7c552e19c27e007673da9204b8,,,18,v1,9241081
aAmmWETH,0xf9fb4ad91812b704ba883b11d2b576e890a6730a,0x118ee405c6be8f9ba7cc7a98064eb5da462235cf,0xa4c273d9a0c1fe2674f0e845160d6232768a3064,18,amm,11998921
aAmmDAI,0x79be75ffc64dd58e66787e4eae470c8a1fd08ba4,0x8da51a5a3129343468a63a96ccae1ff1352a3dfe,0x3f4fa4937e72991367dc32687bc3278f095e7eaa,18,amm,11998921
aAmmUSDC,0xd24946147829deaa935be2ad85a3291dbf109c80,0xe5971a8a741892f3b3ac3e9c94d02588190ce220,0xcfdc74b97b69319683fec2a4ef95c4ab739f1b12,18,amm,11998921
aAmmUSDT,0x17a79792fe6fe5c95dfe95fe3fcee3caf4fe4cb7,0x04a0577a89e1b9e8f6c87ee26cce6a168fffc5b5,0xdcfe9bfc246b02da384de757464a35efca402797,18,amm,11998921
aAmmWBTC,0x13b2f6928d7204328b0e8e4bcd0379aa06ea21fa,0x55e575d092c934503d7635a837584e2900e01d2b,0x3b99fdafdfe70d65101a4ba8cdc35dafbd26375f,18,amm,11998925
aAmmUniDAIWETH,0x9303eabc860a743aabcc3a1629014cabcc3f8d36,0xe9562bf0a11315a1e39f9182f446ea58002f010e,0x23bcc861b989762275165d08b127911f09c71628,18,amm,11998925
aAmmUniWBTCWETH,0xc58f53a8adff2fb4eb16ed56635772075e2ee123,0xeef7d082d9be2f5ec73c072228706286dea1f492,0x02aaeb4c7736177242ee0f71f6f6a0f057aba87d,18,amm,11998925
aAmmUniAAVEWETH,0xe59d2ff6995a926a574390824a657eed36801e55,0x997b26eff106f138e71160022caab0afc5814643,0x859ed7d9e92d1fe42ff95c3bc3a62f7cb59c373e,18,amm,11998925
aAmmUniBATWETH,0xa1b0edf4460cc4d8bfaa18ed871bff15e5b57eb4,0x27c67541a4ea26a436e311b2e6ffec82083a6983,0x3fbef89a21dc836275bc912849627b33c61b09b4,18,amm,11998926
aAmmUniDAIUSDC,0xe340b25fe32b1011616bb8ec495a4d503e322177,0x6bb2bdd21920fcb2ad855ab5d523222f31709d1f,0x925e3fdd927e20e33c3177c4ff6fb72ad1133c87,18,amm,11998926
aAmmUniCRVWETH,0x0ea20e7ffb006d4cfe84df2f72d8c7bd89247db0,0xd6035f8803ee9f173b1d3ebc3bde0ea6b5165636,0xf3f1a76ca6356a908cdcde6b2ac2eaace3739cd0,18,amm,11998926
aAmmUniLINKWETH,0xb8db81b84d30e2387de0ff330420a4aaa6688134,0xeb32b3a1de9a1915d2b452b673c53883b9fa6a97,0xede4052ed8e1f422f4e5062c679f6b18693fecdc,18,amm,11998926
aAmmUniMKRWETH,0x370adc71f67f581158dc56f539df5f399128ddf9,0x6e7e38bb73e19b62ab5567940caaa514e9d85982,0xf36c394775285f89bbbdf09533421e3e81e8447c,18,amm,11999054
aAmmUniRENWETH,0xa9e201a4e269d6cd5e9f0fcbcb78520cf815878b,0x312edeadf68e69a0f53518bf27eacd1abcc2897e,0x2a8d5b1c1de15bfcd5ec41368c0295c60d8da83c,18,amm,11999054
aAmmUniSNXWETH,0x38e491a71291cd43e8de63b7253e482622184894,0xef62a0c391d89381ddf8a8c90ba772081107d287,0xfd15008efa339a2390b48d2e0ca8abd523b406d3,18,amm,11999054
aAmmUniUNIWETH,0x3d26dcd840fcc8e4b2193ace8a092e4a65832f9f,0x6febce732191dc915d6fb7dc5fe3aefddb85bd1b,0x0d878fbb01fbeea7ddefb896d56f1d3167af919f,18,amm,11999054
aAmmUniUSDCWETH,0x391e86e2c002c70dee155eaceb88f7a3c38f5976,0xfab4c9775a4316ec67a8223ecd0f70f87ff532fc,0x26625d1ddf520fc8d975cc68ec6e0391d9d3df61,18,amm,11999061
aAmmUniWBTCUSDC,0x2365a4890ed8965e564b7e2d27c38ba67fec4c6f,0xc66bfa05cce646f05f71dee333e3229ce24bbb7e,0x36da0c5dc23397cbf9d13bbd74e93c04f99633af,18,amm,11999061
aAmmUniYFIWETH,0x5394794be8b6ed5572fcd6b27103f46b5f390e8f,0x9b054b76d6de1c4892ba025456a9c4f9be5b1766,0xdf70bdf01a3ebcd0d918ff97390852a914a92df7,18,amm,11999061
aAmmBptWBTCWETH,0x358bd0d980e031e23eba9aa793926857703783bd,0x46406ecd20fde1df4d80f15f07c434fa95cb6b33,0xf655df3832859cfb0acfd88edff3452b9aa6db24,18,amm,11999061
aAmmBptBALWETH,0xd109b2a304587569c84308c55465cd9ff0317bfb,0x6474d116476b8eda1b21472a599ff76a829abcbb,0xf41a5cc7a61519b08056176d7b4b87ab34df55ad,18,amm,11999065
