atoken_symbol,atoken_address,atoken_stable_debt_address,atoken_variable_debt_address,atoken_decimals,atoken_version,atoken_created_block,underlying_symbol,underlying_address,underlying_decimals,atoken_name,underlying_name
aWBTC,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656,0x51b039b9afe64b78758f8ef091211b5387ea717c,0x9c39809dec7f95f5e0713634a4d0701329b3b4d2,8,v2,11362821,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,Aave interest bearing WBTC,Wrapped BTC
aWETH,0x030ba81f1c18d280636f32af80b9aad02cf0854e,0x4e977830ba4bd783c0bb7f15d3e243f73ff57121,0xf63b34710400cad3e044cffdcab00a0f32e33ecf,18,v2,11362821,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Aave interest bearing WETH,Wrapped Ether
aXSUSHI,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,0x73bfb81d7dba75c904f430ea8bae82db0d41187b,0xfafedf95e21184e3d880bd56d4806c4b8d31c69a,18,v2,11857246,xSUSHI,0x8798249c2e607446efb7ad49ec89dd1865ff4272,18,Aave interest bearing XSUSHI,SushiBar
aYFI,0x5165d24277cd063f5ac44efd447b27025e888f37,0xca823f78c2dd38993284bb42ba9b14152082f7bd,0x7ebd09022be45ad993baa1cec61166fcc8644d97,18,v2,11362821,YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,18,Aave interest bearing YFI,yearn.finance
aZRX,0xdf7ff54aacacbff42dfe29dd6144a69b629f8c9e,0x071b4323a24e73a5afeebe34118cd21b8faaf7c3,0x85791d117a392097590bded3bd5abb8d5a20491a,18,v2,11362823,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498,18,Aave interest bearing ZRX,0x Protocol Token
aFRAX,0xd4937682df3c8aef4fe912a96a74121c0829e664,0x3916e3b6c84b161df1b2733dffc9569a1da710c2,0xfe8f19b17ffef0fdbfe2671f248903055afaa8ca,18,v2,13207481,FRAX,0x853d955acef822db058eb8505911ed77f175b99e,18,Aave interest bearing FRAX,Frax
aETH,0x3a3a65aab0dd2a17e3f1947ba16138cd37d08c04,,,18,v1,9241088,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Aave Interest bearing ETH,Wrapped Ether
aDAI,0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d,,,18,v1,9241063,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18,Aave Interest bearing DAI,Dai Stablecoin
aUSDC,0x9ba00d6856a4edf4665bca2c2309936572473b7e,,,6,v1,9241071,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,Aave Interest bearing USDC,USD Coin
aSUSD,0x625ae63000f46200499120b906716420bd059240,,,18,v1,9241077,sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,18,Aave Interest bearing SUSD,Synth sUSD
aTUSD,0x4da9b813057d04baef4e5800e36083717b4a0341,,,18,v1,9241068,TUSD,0x0000000000085d4780b73119b644ae5ecd22b376,18,Aave Interest bearing TUSD,TrueUSD
aUSDT,0x71fc860f7d3a592a4a98740e39db31d25db65ae8,,,6,v1,9241076,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6,Aave Interest bearing USDT,Tether USD
aBUSD,0x6ee0f7bb50a54ab5253da0667b0dc2ee526c30a8,,,18,v1,9747321,BUSD,0x4fabb145d64652a948d72533023f6e7a623c7c53,18,Aave Interest bearing Binance USD,Binance USD
aBAT,0xe1ba0fb44ccb0d11b80f92f4f8ed94ca3ff51d00,,,18,v1,9241085,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef,18,Aave Interest bearing BAT,Basic Attention Token
aENJ,0x712db54daa836b53ef1ecbb9c6ba3b9efb073f40,,,18,v1,10471941,ENJ,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,18,Aave Interest bearing ENJ,Enjin Coin
aKNC,0x9d91be44c06d373a8a226e1f3b146956083803eb,,,18,v1,9241097,KNC,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,18,Aave Interest bearing KNC,Kyber Network Crystal
aAAVE,0xba3d9687cf50fe253cd2e1cfeede1d6787344ed5,,,18,v1,11093579,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18,Aave Interest bearing Aave Token,Aave Token
